,content_id,content,subject,sentiment_value,sentiment_word
73,IeXnv29Rf3Bm6WKS,换4条静音轮胎才是正道,舒适性,0,静音
135,hiRBxzXvFfKI2y85,用过两款减震机了，CUSCO、RSR，目前觉得还是原厂最舒适。,舒适性,0,原厂
136,vRAztNshlaSWYOxd,这车就这样，蹦蹦嗒嗒的。估计lz以前开的车舒适性不错才有这样感觉。,舒适性,0,
137,eLmSiqv06pfNr2V4,看你的需求，米胖子应该比较适合你，安静舒适,舒适性,0,
138,cQVS2zpOjEqKmiGI,咱俩只差一个月我刚跑了15000 去这些地方开着感觉咋样？顺便问你一下你的空调出风口有没有坏？或者听说别人是否有坏的,舒适性,0,空调
139,g8Uw2noap6TfVKhP,有时候如果熄火前没有关空调制冷压缩机，启动的时候压缩机会自动启动，发出类似阀门开起的那种声音，不晓得是不是你听到的那种,舒适性,0,空调
140,hpyl7WjQKofXq8dg,不开空调默认是开打外循环的，要打开内循环可以不用开空调，直接按空调控制上的内循环开关就可以了，这时空调显示屏上没有温度等信息，只有一个回绕的小箭头汽车图标。,舒适性,0,空调
141,g4OUT0dnBGVJ9qX6,冷空调开起来都是后面先凉。    ,舒适性,0,空调
142,z1KFt2yo0jD4lfOc,空调开一档 二档 声音比出风声都大    ,舒适性,-1,大
176,kgMeaAGu421DQOt9,1、噪音，可以考虑做个全车隔音，效果很不错。2、刹车软，我也觉得，所以我换了好点的刹车皮，效果杠杠的，至于品牌，很多不错的，我选了dixcel。3、至于行车下锁，自动升窗，一健升窗等功能，在x宝上面大把这种控件，并且是无损安装，还有多合一的，找个信誉销量好的店家，最好是本地的，直接去它店面安装。,舒适性,0,
249,JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,舒适性,-1,坑
251,z4gGv2liFMsQ3qYA,我个人对声音不太敏感，所以没觉得高速噪音大到无法忍受的程度，至于烧机油，我新车不太清楚，希望不烧吧    ,舒适性,0,
257,mSPlZvADzQVos9BO,高速噪音大吗，烧机油吗？,舒适性,0,
329,gDyCLeTpMFGXdvxu,异响能解决吗？车漆能硬点吗？前档玻璃能结实点吗？,舒适性,-1,异响
338,vzPSHIlUJgyhMsFb,这东西装上了高速噪音会很大吧,舒适性,0,噪音
340,5bK1tDapXe9wjEHT,这个是高速空气扰流，减少噪音的,舒适性,0,噪音
345,vq8GprJFxYoSyKed,高速行驶车内噪音大吗？,舒适性,0,噪音
349,xOFfHey54JY0hIQ3,米其林说是特别不抗磨，但静音效果非常好   ,舒适性,1,静音
350,jfgr05U1KDTkLVZx,感觉还可以的，静音好像比原来的普利司通好些。    ,舒适性,1,静音
351,KhIXrJeMF9A3758q,用了快三年五万公里，没啥问题。就是噪音大。,舒适性,-1,噪音大
363,w0hAsE95pjTbO4mq,米其林哪一款忘记了，主打静音    ,舒适性,1,静音
365,FiWN98UVeBg1Cf5G,我也换的米其林，没折腾，还是原来尺寸225的，胎噪小了。,舒适性,1,小
369,hU5sGBfCeH9ZniJP,2.5好，高速噪音很大！！,舒适性,1,好
373,N6I8D70KQFYh9MGe,我还是更喜欢17寸的，我觉得18的太颠了，过减速带不舒服,舒适性,-1,颠
377,HBJldUyCqPzT4Xp8,在论坛里搜了下腰托，好多反应不舒服的，看来不是我一个人这种感觉    ,舒适性,0,不舒服
404,Q8TJy0jhuO79GDvW,车跑的时候 你能听到 后备箱传来的风噪？    ,舒适性,0,
407,5HI8lovjtBsrybcu,咕噜噜的声我的飞度也有，过沟坑震得厉害才会有，响个两秒就没了，算是正常吧，为什么这样响就不知道了，现在的森暂时没试过过大坑。,舒适性,0,
408,M0WG9JqZYLnSN2Ky,那说明你的异响根本就不是哪里，只不过拆车重装的过程中动了某些地方导致异响暂时消失而已别在让人拆顶棚焊接了，这个办法太坑人了，要解决只能老老实实的找，找不到绝对不要轻易补焊！这才是正道！    ,舒适性,0,
412,jfHPrJp7RNlsUu93,我当时提车的时候临牌，保险什么都上好了，结果空调有问题打不开，后来说里面有个什么线没插，车子完全没问题，但我死活不要，后来还是重新给我换了一台,舒适性,-1,有问题打不开
413,KzWVr5TSpL6seIv0,冷车发动的时间发动机噪音大一点，车一热就好了，还有你换的机油有关系，一定要用0W20的SN级别的机油。如果热车发动机有抖动，可能与你加的乙醇汽油有关系。,舒适性,-1,噪音
427,MR1dzJ5TrIYl0ZGB,唉，这个破车，BYD就是开烂了，也没听说有开焊的，成笑话了，我的也响！ 弄个破胶布，垫一下电线，折腾的我来回开了接近200公里，焊缝开焊，上路乱响，4S连个屁都不放,舒适性,-1,乱响
434,oidBOejfGRY5KPxb,森林人宽敞些，因为高度比傲虎高，但舒适度不如傲虎,舒适性,0,
449,UjLf72QbJiYnDSae,15款的豪华悦享版装哈曼卡顿音响,舒适性,-1,卡顿
469,U6jm1DLKgJCiGQew,两款不同的车，森林人是偏运动风格的SUV，操控极佳，内饰、隔音都不咋地，傲虎应该算是休旅车，是轿车和SUV之间的跨界车，舒适性更强，有可能就都试驾一下，看自己的喜好   ,舒适性,0,
472,TGqmYgtkXRI3l2rN,异响，盆友有个13款傲虎，烧机油很厉害。我也很担心啊     ,舒适性,-1,异响
476,LH6i3Y5pIDnVB8rR,有，异响。。。 哪哪都在响。。。。中控 、D柱、座椅、妈的现在感觉轴承也在响 还没求证,舒适性,-1,异响
495,wht4boeR12kSFMpU,来个中肯的吧，小保养668烧机油说是改进了我也不清楚，16款说改进了，我是16款的25目前17045(刚加油测油耗记得请 )目前油耗8.0，小问题是变速箱低速偶尔有顿挫，目前为止发现3次……，跑不平的路异响眼镜盒！！！主驾驶开窗后颠簸异响，开过老哥的科帕奇后更喜欢小森了,舒适性,-1,异响
517,PdJr3bRkSYB4aEZ0,斯巴鲁的空调很给力 我6年的车了，空调还是刚刚的 不要太纠结座椅通风，开会车，挺挺腰身，挪挪屁股也好，沁凉的空调环境里，也舒服,舒适性,1,
519,M2wWsVSBYR1GH4IX,过来人告诉你 新款cx5 操控不比森差，但是隔音 内饰上好与森,舒适性,0,
538,knlw7I93HxSjc6Uu,我用过横滨的雪地胎，现在的森林人用的是邓禄普，感觉横滨略好一点儿。邓禄普的雪地轮胎换上去比原车的优科豪马舒适性差，比较明显的。   ,舒适性,0,
541,3uFiTMxqmWyB9zZD,对不起，森林人的空调也不咋地，所以我夏天基本都开奥拓。同事经常座我车上下班，开森林人时，总让我空调开大点开奥拓就不一样了，“老叶，把空调关小点，有点冷”   ,舒适性,-1,不咋地
542,fdwgimP7ptqIVNn1,这个我不太懂 反正我下载无损版插u盘听歌机头就卡u盘发热 有人换个铁皮u盘会好一点 但是我觉得音响质量很差 有人说是鸡头的不太好 喇叭还可以 你觉得是直接换机头好还是换喇叭    ,舒适性,-1,质量很差
545,y4jTPdk8GnKVLwpJ,这个胎实际使用感觉怎么样？胎噪，油耗如何？详细说一下体验。,舒适性,0,
556,U42bIXLWvnaFGMpm,我不只这样，我过颠簸路面中控都有当当当当的响，头疼。看照片楼主是90后啊，酷,舒适性,-1,异响
558,ipKI1he0jDybYBGR,低速状态下避震动态表现没啥区别，速度起来后走烂路的感觉就完全不一样了，没那么生硬的感觉，舒服了一些，操控方面的话我觉得没啥太大的提升。反正我觉得不能抱太高的期望吧，毕竟只是个小升级    ,舒适性,0,
577,cFhwWbOnlarM3sij,我的10 年的2.0手动，跑了不到13万公里，做在主驾驶位能听到类似凸轮轴打气门的，哒哒哒哒响声，正常吗？,舒适性,0,
582,5NJG0U4kFBELjfa8,我今年情人节提车2.5尊贵导航。。适用。。性价比不高，省油。空间大，开着舒服，隔音不差也不好 音响蓝牙播放无损也不错。。。。。。最近正考虑升级音响和机头   ,舒适性,0,
586,bARdcQm3kviJE0he,其实斯巴鲁的中控主机不差，当然不差钱，换了肯定更好。斯巴鲁的噪音太大，不做隔音简直没法听。   ,舒适性,-1,噪音
589,TELYBbyl30wcZAu6,我也是这样，瘦小的人坐在森的座椅上毫无包裹感，我开一个小时以上就腰疼，所以我买个一个记忆腰靠,舒适性,-1,腰疼
590,c8Akgd3opiwUVmOe,在10000公里已经换过空滤。空调滤话，仅换机油，机滤即可，如果新车至今没有换过空气滤和空调滤，可以考虑购货自己换，注意不听4儿子店忽悠要清洗啥啥啥的。。至于异响让技师检查咯。。。,舒适性,0,
593,TSjq6U2AKyE9PscB,品质全靠人品，怪不得那么多车烧机油有异响    ,舒适性,-1,异响
605,3qc8BHaXmeAogx51,还有四个车门开到路不好的地方咯吱咯吱响，天窗也漏水一次,舒适性,-1,异响
608,zkyCMYpqaLXm6BIS,你好：建议上服务站检查一下，变速箱异响原因有很多的，具体要检查一下才会确认是那里有问题，如果问题大，要求更换总成，用车愉快！,舒适性,0,
609,7NaeBgAoq62iRKPD,我的也有，不过是在车门玻璃半开的情况下才会响    ,舒适性,-1,异响
616,Vsj0O3T8Kao5kw6J,开空调了。泵一动，就抖。尿震得感觉,舒适性,-1,抖
632,lf9hQWOmDcKXYwjC,基本上2014前以前的CVT车型都烧机油，可以索赔发动机中缸吧，好像是，我觉得你别收森林人了，添点钱买个新的低配的CX5 或者奇骏，不错的选择，森林人行驶质感一般，坐上悬挂硬不舒服，尤其是后减震，路噪大，内饰有点糙，中控有部分异响，后座位内饰板容易开裂，CVT 变速箱有啸叫。开了3年的森林人老司机坦诚告诉你。,舒适性,-1,不舒服、异响
644,lAiwRTkVWarQts83,我的快21万了，不烧机油，就是间隙大，气门声音大    ,舒适性,-1,气门声音大    
678,cSVg01t9UbuOBEqn,遮阳板位置，后排顶拉手位置等，去4S索赔，他们赚个小差价，双赢，唯一4S小工技术不到家没装好产生异响。目前没有异响。   ,舒适性,0,
684,S7RwenYgJGl24yp9,好像不是滴滴声儿吧，我的同款停车后发动机里是卡啦卡啦的声音，正常情况。,舒适性,0,
686,HytrRZCSNVaxPo91,13款10月的2.5，除了半轴异响还没有发现之外，其他的和你一样，烧机油是8万开始的，3000公里1升，爆震1万公里就开始了，震到现在，各种能试的方法都试了，现在已经放弃了，4S店要给免费换中缸，还没想好换不换，就怕换了有别的问题，不然就等发动机报废了换车了，座椅不是真皮的，是革的，也裂了，都一样。,舒适性,-1,震
689,nOMb15mgZidq704p,异响是不是你手机放在离中控近的地方，信号干扰？？我的没异响！   ,舒适性,0,
703,KEoMgWaAIz371Oex,我和你一样的，骐达换森林人，曾经有两次差点追尾，我好朋友开我的车也两次差点儿追尾，但现在已经没有任何问题了，改一改原来的习惯，做好预判就好了，反而更安全，乘客的舒适性也会感觉更好，习惯了过后也可以开很快，祝你早日熟练,舒适性,0,
718,Nu2SZbd18HsLOQPF,GT30就免了吧！那噪音不小啊！且衰减快，3000左右吧！动力方面还不错，我用过两次！之后想都没有想过“她”了     ,舒适性,-1,噪音
726,U1G7B58jHK6ndQbz,我16款也响车速超过50码时，今天去了4s店试车，他说发动机声音隔声问题我呐闷,舒适性,-1,响
734,T1sEZ7DM69FoUrQG,森林人异响在这里都不是事儿了，焊点开焊后就是薄钢板触碰发出的声音，上4S点对焊的有的是。我的也响，从五万公里开始   ,舒适性,0,
738,9ZkgSWRObXteGH7j,那个肯定不是发动机的声音 4s店老忽悠人 你的是不是没有规律的响？    ,舒适性,-1,响
740,BEtfSMgU9lLo6NCR,这车没开过，回答你 3.可以自己买机油更换，只要型号一样即可， 5.360记录仪还不错，挺好用的。 6，不建议戴套，没有必要。 7，又不越野，换静音胎可以的，噪音小不少,舒适性,0,
751,w92EpJqlk0Ti3Kzy,我换了国产的轴承2万就开始异响了还是换了NTN的    ,舒适性,-1,异响
763,4q7xvsV1ynEphUTP,怠速轻微抖动我也有 要是刹车抖 可能是盘子和片的问题    ,舒适性,0,
765,urbBsA9KaeVJYFWj,不是音响，是喇叭吧，喇叭网上有。,舒适性,0,
773,Y8wybDUhAiZ5MLHn,我也是，刚提两天。情况跟你一样，还有发动机噪音大的很你的是不,舒适性,-1,噪音
776,JjUcbkCslFwgyqoh,是的，发动机声音很大，而且坐在驾驶座上能感觉到抖动    ,舒适性,-1,噪音
777,JzmxBIgREG6VP4YX,拍空调滤清器，自己换吧，一般一年一换，还要经常拆下来清理,舒适性,0,
782,UF5tVZWoB4T1MD82,你需要的是等待遇见足够脏的空调滤芯。哈哈！,舒适性,0,
786,ELI7BMDy2oFt0zlP,提车6天，700多公里表示无异响,舒适性,0,
792,hvZHagAs7utnfyFX,真斯巴鲁，天冷了，发动机温度低的时候有个自我保护，转速会比较高，噪音也比较大，过个两三分钟就会降下来,舒适性,-1,噪音
800,5LHYkm68oQJydf9B,16款时尚2.0快一万公里了。除了胎噪大。没有听到你们说的什么异响。可能我买的是假车,舒适性,0,
804,LilGFgvr936wpWyP,电动尾门有的呀，出风口第一排座椅下，没坐过后排还不知道制冷差多少，不过空调很牛逼了。全车除了那个中控台是坨屎外，都挺好    ,舒适性,1,空调很牛逼
822,dKqrthVg6P48eklD,舒适性 隔音都要好于森 楼兰均衡    ,舒适性,0,
828,bOcxUzdVkeWJDE9I,质量可靠性都不差，森林人的隐患就是烧机油。但是森林人比楼兰低半个级别，空间，内饰，舒适静音各方面都不如楼兰，性价比实在不咋地。唯一的优势是操控和四驱能力，对你来说，上下班代步，森林人的优势你根本用不上   ,舒适性,0,
832,R7E3fDmHPaCvhT2N,晴天一个礼拜，加满油，有异响，应该不是哪里进水    ,舒适性,-1,异响
835,1ALEVRlKNfbigm65,天气冷了，把调温度的旋钮调到高温，再开的话，空调就不会打开了,舒适性,0,
837,hao9B5Up4QEsfACM,这能看得出来吗？你经常发生晃动？我是偶尔会这样，不知道怎么让其他人能感受到这种晃动，晃动的声响很微弱的，而且不一定一定能试出来    ,舒适性,0,
839,wLHbADs4hKOrydiY,我空调滤和空气滤已经换掉了，京东的活动，满299减150，备了2年的空滤    ,舒适性,0,
841,KXLSTF3rBospk6v7,长期高速，要求舒适，就选择楼兰。森林人除了隔音不好，2.5动力差点。对我来说哈。其他都还行。,舒适性,-1,隔音不好
843,ucnmdgpFQsAx7JRy,我上一次换了一次安索的油，真的感觉很差，发动机噪音明显变大,舒适性,-1,噪音
860,cWDyrjsYd23bMPXI,不要开空调，直接吹暖风就行，最右边那个圆扭拧到最右边,舒适性,0,
873,TNjshVqgORDcEJ6I,噪音控制如何啊？谢谢！,舒适性,0,
875,iHJZDu1W84MLGPge,噪音控制一般，没发现异响。没有开高速，所以不知道100以上的表现如何。   ,舒适性,0,
890,3TulC6ErvOS4FGKe,傲虎的舒适性是最好的，选择的是力狮的地盘，牺牲了一点离地间隙。XV适合女性一点（个人观点），森比XV空间大，没有XV精致，比傲虎越野好一点，没有傲虎舒适,舒适性,0,
920,9y8Rh6UXEKsCzcDS,缓停没有响那是因为车还没有完全静止，当静止那一瞬间异响就来了。可不能一早挂N哟，我是要在车辆静止下来的前一点儿挂N    ,舒适性,-1,
922,1NCjd2Gk8SKq0X3z,这个地方是有响声，但是具体在哪你找到了吗？   ,舒适性,0,
931,x6LtJFzHY0i3os4N,我森林人就是上下班用，真好开。 楼兰太笨拙了吧，不过要是家庭用，肯定比森林人宽敞，舒适,舒适性,0,
959,o5DhzwqsFNpHYajM,你们4S还加钱换530，我问了我们的四S，说前几个月都是020的，最近两个月定不到020的，所以后都改530了，说530对车没任何坏影响，让我放心用。    ,舒适性,0,
971,2fbIEFtpmMBGcCen,橡胶自然老化，不影响使用。,舒适性,0,
974,4VXwaiyv2gbEdFtq,四儿子应该用听诊器听出来，我的还没响，没到公里数应该    ,舒适性,0,
987,TeU5bRmrAu7nYH3w,我的2016森，2.0i，四S也给加的530油，不知道后期会有什么影响。质问为何不按说明书来，说进不到020的货，530也行，没任何问题，我该怎么办？    ,舒适性,0,
999,kyTm6Cv4QarHc1WD,我觉得森林人可以了，底盘算是兼顾了操控和舒适性！你去试试欧蓝德，操控不行，底盘还硬,舒适性,1,可以
1002,YKsMuWnhwGbyJrq0,我就想知道，新款还有异响么，有的话我就放心了??,舒适性,0,
1006,9Go7LYni4RPyCtcz,后排是忽悠 容易晕车  靠背放倒一点  跑长途还行,舒适性,-1,忽悠 容易晕车
1020,jkQIgUbeCTZxuESw,你的行李架掰着会“咂咂咂”直响不？    ,舒适性,0,
1025,0exoKzRrhDawsXOU,我换了前盘和皮 感觉性能提升了点但异响减少了    ,舒适性,0,
1029,b8okcQaO3x7YN6Xq,夜里玻璃反射到左后视镜上，影响视线。我在4s状的。东西是原装进口的。,舒适性,0,
1034,PmqWND3Rt1g9wGYJ,空调最右边的圆形上半部分的按键就是前挡风玻璃加热。其实只是加热了最下端，防止雨刷和玻璃结冰冻在一起了。,舒适性,0,
1037,Vbjh0M6rO4dTKJWm,森林人，听这名字都不像让你舒坦的车，说实话，这车只适合喜欢操控的驾驶者，舒适性那就别想了,舒适性,-1,就别想了
1038,K03GVWzeNIkAc6n4,根据乘员的乘坐感受来说CRV的舒适性要好一些，如果是驾驶感受当然还是森林人,舒适性,0,
1042,gM2olm6YPn71b0FT,这个油一般般，刚换了这种，跑了7百公里左右，噪音大， 提速肉，还不如之前一直用的白桶出光,舒适性,-1,噪音
1051,VYSaKOlqIJkoPryp,你坐坐其他同级的suv你就知道了，要舒适买日产吧    ,舒适性,0,
1054,MpSCJOPg69cB218l,不管它，最近2000公里，居然不响了……,舒适性,0,
1061,awDxhiI4tLGqZQUu,舒适性这俩应该差不离吧，不过森的驾驶感受你懂得，数一数二的,舒适性,0,
1066,Z5zrScJKfovIdYWA,我这锅也用的日石铁桶感觉发动机噪音有点大   ,舒适性,-1,噪音
1071,RPVwtmY3plQcB9xv,据说变硬了，驾驶舒适度降低。各有利弊的操作,舒适性,0,
1075,EPRQx2HJfLlN7dS8,内循环和外循环电机不一样，可能是电机异响,舒适性,-1,异响
1082,Vzkn4qA2BGw5MxHa,我的16款1.2万公里，目前无异响,舒适性,0,
1085,1tyU3GgwVZP7d2c6,我的奥迪以前每天早上打火都会响，吹口哨一样，或一分钟就没有。后来发现二次进气泵的管脱落了，接上就好了,舒适性,0,
1086,ckU7xhrRsIbXNZDC,看路况的，路面不好，大奔都会响，斯巴鲁就不谈了，不定点的各种响,舒适性,-1,异响
1087,ODhmNlo8xZPEnTv0,一年车，四个玻璃表示都响。,舒适性,-1,响
1093,rCQUby6Dka5ViZYf,两个车轮同时过，悬挂哗啦哗啦响,舒适性,0,
1096,3iWvMZbNYmJ74Hxh,没用的，最近气温零下，又开始响了。    ,舒适性,-1,响
1097,YfZ4QdTc9EHXqwAI,我暂时没有耶，不过我姐夫的bba也有说不清的响声    ,舒适性,-1,响
1102,GFdAkSfyK4z3ro6l,方向盘要正，空调负荷不能太大，不能急刹，不能刹车不踩完，时速要超过5公里以上停车才能启动,舒适性,0,
1110,1qwo65JNBf0g93me,有异响，除了喇叭不响，其它都响,舒适性,-1,异响
1112,redCk8cYWNVn3tJA,论舒适你应该上汉兰达呀,舒适性,0,
1172,tBAuG9EeQ6RO7z1h,换中缸对车整体有影响吗？    ,舒适性,0,
1175,JsGq6LYcevkzZTw8,我才提车半月，中控里面过颠簸的路就有异响了,舒适性,-1,异响
1187,wFkjXmS2uU6TOQGo,是不是只有开空调时才有？有的话，如果还在质保期，那么你就可以去4s了，如果不在，能忍就忍忍吧,舒适性,0,
1192,WC59FKljx4hwH8uU,长途机油消耗大，搞异响，搞烦了，四儿子态度很差，早弃保了。    ,舒适性,-1,异响
1196,QKdEVBHf6b3huZlD,多谢多谢，大恩大德无以为报。明天就去看看是不是这个地方响。实在太感谢了        ,舒适性,0,
1203,1gudpVXGyCQfwLMK,楼主我们是同一款，出现的问题也基本一样，不过我的后备厢异响是在门那个地方。加了个东西就好了没有拆开电焊。写的很好！我也是感觉越开越顺手。适合家用。,舒适性,0,
1205,revoL4H9tIk6bViR,楼主 怠速也有哒哒哒异响吗    ,舒适性,0,
1214,uQjZ1G8volteUKOy,恭喜楼主啊，其实还有一个角度就是为了宝宝考虑一下，斯巴鲁的避震调校更舒适，而奥迪则偏向运动性,舒适性,0,
1217,2LwDok6IustMZUnV,开过本田1.5缤智就可以对噪音免疫了,舒适性,0,
1220,W5w08FVlueZ1dvCO,我的单买 空调滤芯就138啊   ,舒适性,0,
1223,f1kALP7vtzYmpw2V,你空调开最低档，出发会不会有响声    ,舒适性,0,
1226,dXbU6sfYEDxl2w0P,这破车，大家都用什么机油，除了拐弯爽点，没有好处，各种响，变速箱异响，烧机油，天啊    ,舒适性,-1,各种响
1238,5iqjWM8RBNZ9zAJV,个人感觉，欧蓝得舒适性要好一些，奇峻不推荐，探界者新车型，可能会不稳定，雪弗兰本身就不稳定。关键....你的困扰在最后60公里烂路，森林人全时四驱，后双叉臂，陡坡缓降，上坡辅助，膝部气囊，这些会对你帮助很大，这些理由够充分吗？haha,舒适性,0,
1244,ilDL7qB9coNdtvSX,还行吧，这车就是操控好点，长途开着累，因为座椅不行没有腰脱，后排坐垫也不算长。我开车也不急不过你要是满载100以上超车真的费劲，等你买了就知道了，不是急不急的问题。自己考虑吧   ,舒适性,-1,开着累
1250,RK29Xy4e0a65rw1U,脚感比较轻软 偏舒适 效果还是可以,舒适性,0,
1255,xseKJFfugUOkD9Z6,我的车没有注意有这个声音，开空调压缩机和鼓风机开始工作，排查是不是鼓风机声音也很简单，将风量逐渐加大再看哪个声音是不是随之变大。个人意见供参考，必要时四儿子排查。,舒适性,0,
1259,RlhLvdkgCp0fwsEN,森林人唯一不能满足的就是舒适性,舒适性,-1,唯一不足
1269,PflHOdAUnXIjo2WY,这个价位，又要四驱性能、操控、内饰、隔音、安全、豪华全都到位，那人家破鞋买给谁去？,舒适性,0,
1277,s1bqKUI8NrR50ZtX,伤车，如果有异响了最好去店里看看,舒适性,0,
1278,EdqeCY7OTVxf208t,我的没理会，现在不响了,舒适性,0,
1279,DTxnv4MAbCY0LXjp,我的也响，去4儿子那也是弄了弄后备箱锁，好了一段又开始响，都去两次了    ,舒适性,-1,响
1280,2wXBI9EQl3Lsia1Y,给楼主一套曼牌的三滤吧，机滤W6019，空气滤C2201，空调滤CU22004，森林人能用！,舒适性,0,
1287,8Rr2EwenkhQNtZ3s,10个月了，1.2w公里，目前无任何异响,舒适性,0,
1288,dlSk7fRpBiDuHmLt,给一下链接，谢谢；原后视镜视角太小，不自动防眩目，加装曲面的出现共振异响，一直想换装,舒适性,0,
1289,YvBaoSntPTMeUGp4,没遇到。如果响得厉害，找4S。,舒适性,0,
1297,IuKUG0daL8QWf9iH,还是有的，60km/h，巡航状态发动机基本就在1100-1200区间。应该不是变速箱模拟降档，降档的顿挫是一次性的，而且震动比较明显。现在车在1100-1200是发动机的一种颤动或者说共振，带动中控和前风挡一起共振，发出异响，是持续的，不那么明显。   ,舒适性,-1,异响
1302,EGjb0fZq8LXsJInQ,我的老款，副驾遮阳板同响,舒适性,-1,响
1307,i3T4Jly5IRhF98gM,混动crv烧机油么，另外噪声控制如何   ,舒适性,0,
1314,IsdMHpBZ0SYPygi1,我当初也是这两辆车在选，先定了傲虎，然后第二天改成了森其实傲虎比森油门响应快，门和高速过弯没感觉又多大差别，应该差不多，傲虎隔音内饰要比森好点～eyesight很有用，建议有条件一定要上！但是森的视野太爽了，老婆开过念念不忘，家里第二台车，也不是太在意空间，所以第二天就改成森了……,舒适性,1,好
1324,IbheRGV6HuNCLStT,这俩车取向完全不一样。买森林人的基本不怎么会买奇骏的吧，反之亦然。我觉得奇骏作为家用车真的挺不错的，空间大，舒服，动力不差，四驱在城市SUV中算好的，真的是很适宜的一部车。   ,舒适性,1,舒服
1327,jfOndsE8QPZXul7V,奇骏空间大舒适性好配置高，还有一定的脱困能力，确实适合家用，性价比高。,舒适性,1,好
1339,HmQF6KOEoDa5IBqZ,如果汉兰达不加价，不实行SB的饥渴营销，我就买了。现在想想幸好没买，一是七座用处并不大，二是城市驾驶森林人要爽太多，三是找停车位时少很多麻烦，四是经常自驾游森林人是最好的选择，五是操控、四驱、通过性汉兰达无法和森比。虽然汉兰达的内饰做工、空间舒适、保值耐用、综合性价高等优点也是森林人无法相比的，但这些都掩盖不了森的主要优点，还是森林人适合我。,舒适性,1,空间舒适
1357,BaFdXcWgAOQCNimo,相比你的马自达，颜值差，动力差，油耗高，异响多，操控差， 08年的一旦维修起来配件要命的贵，必换的一套正时大概2000多。除非你懂修车，会找拆车件。08年的国三排放，将来出手都不容易。2.0的应该不如你的1.5动力好…唯一好的大概就是空间大点吧，通过性强一点，否则真没必要换车，09款车主真心话…,舒适性,-1,异响多
1392,aLUsTDqeyWOZ5XKw,据说14款以后烧机油的问题改观不少，漏油的应该不多，拉缸那是个人问题了，保养和同价位车比起来不贵，但是配置不高，隔音不好而且偶有异响，如果有强迫症的还是慎重。    ,舒适性,-1,隔音不好
1418,dfrAY7v5FqQt4kmi,国产确实有，要知道国产车内部的电子配置从来不吝啬，但是又so……what？！说真的我当初也是看中座椅记忆，因为和老婆身高差的比较多，早上她送完小孩回来就轮到到我开去上班，一天最少要调2次座椅，烦死了！差不多价钱的合资或者进口车，有这个配置的真不多……LZ不知道你新选了什么车，我早上试了一下你要转头才能看后视镜的情况，感觉你坐姿真的应该比较大问题～   ,舒适性,1,看中座椅记忆
1434,d8iTSu5GgQfwYFx6,说得好! 我给家里领导也是这么说的.听完的我说的，她总结到:你买了辆外观丑，配置差，噪音大，还颠的车?我说把钱花在看不见的地方的车才是好车   ,舒适性,-1,噪音大
1475,i0cSNWX6GdElYbpR,没等到2018款大改款出来再买会后悔得不要不要的，鹰眼，内饰，噪音，乘坐舒适感，音响全面提升得太多太多    ,舒适性,1,提升太多
1486,pvyc9VwrkgbmXKE4,最大的区别是森林人FB发动机烧机油、爆震、风噪大、内饰简陋.......，这些神行却没有,舒适性,-1,风噪大
